id,type,identifier,label,classification,linked_to,joint_committees_labs,altlabel_en,preflabel_en,temporal_id,temporal_end_date,temporal_start_date
org/3955,Organization,3955,IMCO,def/ep-entities/COMMITTEE_PARLIAMENTARY_STANDING,,,Internal Market and Consumer Protection,Committee on the Internal Market and Consumer Protection,time-period/20140701-20170118,2017-01-18,2014-07-01
org/2354,Organization,2354,ITRE,def/ep-entities/COMMITTEE_PARLIAMENTARY_STANDING,,,"Industry, Research and Energy","Committee on Industry, Research and Energy",time-period/20070131-20090713,2009-07-13,2007-01-31
org/6966,Organization,6966,CJ11,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/6583,PECH,Joint PECH - FEMM,Joint committee procedure - PECH and FEMM,time-period/20240716,,2024-07-16
org/6966,Organization,6966,CJ11,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/6588,FEMM,Joint PECH - FEMM,Joint committee procedure - PECH and FEMM,time-period/20240716,,2024-07-16
org/5011,Organization,5011,CJ30,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/4959,INTA,Joint INTA - FEMM,Procedure with joint meetings - INTA and FEMM,time-period/20170119-20190701,2019-07-01,2017-01-19
org/5011,Organization,5011,CJ30,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/4975,FEMM,Joint INTA - FEMM,Procedure with joint meetings - INTA and FEMM,time-period/20170119-20190701,2019-07-01,2017-01-19
org/1076,Organization,1076,JURI,def/ep-entities/COMMITTEE_PARLIAMENTARY_STANDING,,,"Legal Affairs, Internal Market",Committee on Legal Affairs and the Internal Market,time-period/20020115-20040719,2004-07-19,2002-01-15
org/5098,Organization,5098,AFCO,def/ep-entities/COMMITTEE_PARLIAMENTARY_STANDING,,,Constitutional Affairs,Committee on Constitutional Affairs,time-period/20190702-20220119,2022-01-19,2019-07-02
org/2424,Organization,2424,ITRE,def/ep-entities/COMMITTEE_PARLIAMENTARY_STANDING,,,"Industry, Research and Energy","Committee on Industry, Research and Energy",time-period/20070115-20070130,2007-01-30,2007-01-15
org/978,Organization,978,AGRI,def/ep-entities/COMMITTEE_PARLIAMENTARY_STANDING,,,Agriculture,Committee on Agriculture and Rural Development,time-period/19990720-20020114,2002-01-14,1999-07-20
