identifier,label,temporal_id,temporal_start_date,alt_label_en,pref_label_en,alt_label_fr,pref_label_fr
6561,NI,time-period/20240716,2024-07-16,Non-attached Members,Non-attached Members,Non-inscrits,Non-inscrits
7018,PPE,time-period/20240716,2024-07-16,Group of the European People's Party (Christian Democrats),Group of the European People's Party (Christian Democrats),Groupe du Parti populaire européen (Démocrates-Chrétiens),Groupe du Parti populaire européen (Démocrates-Chrétiens)
7028,Verts/ALE,time-period/20240716,2024-07-16,The Greens/European Free Alliance,Group of the Greens/European Free Alliance,Les Verts/Alliance libre européenne,Groupe des Verts/Alliance libre européenne
7035,Renew,time-period/20240716,2024-07-16,Renew Europe,Renew Europe Group,Renew Europe,Groupe Renew Europe
7036,The Left,time-period/20240716,2024-07-16,The Left - GUE/NGL,The Left group in the European Parliament - GUE/NGL,La Gauche - GUE/NGL,Le groupe de la gauche au Parlement européen - GUE/NGL
7037,ECR,time-period/20240716,2024-07-16,European Conservatives and Reformists,European Conservatives and Reformists Group,Conservateurs et Réformistes européens,Groupe des Conservateurs et Réformistes européens
7038,S&D,time-period/20240716,2024-07-16,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Groupe de l'Alliance Progressiste des Socialistes et Démocrates au Parlement européen,Groupe de l'Alliance Progressiste des Socialistes et Démocrates au Parlement européen
7150,PfE,time-period/20240716,2024-07-16,Patriots,Patriots for Europe Group,Patriotes,Groupe Patriotes pour l’Europe
7151,ESN,time-period/20240716,2024-07-16,Sovereignists,Europe of Sovereign Nations Group,Souverainistes,Groupe «L'Europe des nations souveraines» (ENS)
