identifier,label,temporal_id,temporal_start_date,alt_label_en,pref_label_en,alt_label_fr,pref_label_fr
6708,PSD,time-period/20240716,2024-07-16,PSD,Partidul Social Democrat,PSD,Partidul Social Democrat
6713,M,time-period/20240716,2024-07-16,M,Moderaterna,M,Moderaterna
6714,KD,time-period/20240716,2024-07-16,KD,Kristdemokraterna,KD,Kristdemokraterna
6715,FP,time-period/20240716,2024-07-16,L,Liberalerna,L,Liberalerna
6717,MP,time-period/20240716,2024-07-16,MP,Miljöpartiet de gröna,MP,Miljöpartiet de gröna
6725,KESK,time-period/20240716,2024-07-16,KESK,Suomen Keskusta,KESK,Suomen Keskusta
6735,SDP,time-period/20240716,2024-07-16,SDP,Socijaldemokratska partija Hrvatske,SDP,Socijaldemokratska partija Hrvatske
6745,ÖVP,time-period/20240716,2024-07-16,ÖVP,Österreichische Volkspartei,ÖVP,Österreichische Volkspartei
6750,GROEN,time-period/20240716,2024-07-16,GROEN,Groen,GROEN,Groen
6758,PS,time-period/20240716,2024-07-16,PS,Parti Socialiste,PS,Parti Socialiste
6768,ODS,time-period/20240716,2024-07-16,ODS,Občanská demokratická strana,ODS,Občanská demokratická strana
6779,C,time-period/20240716,2024-07-16,C,Det Konservative Folkeparti,C,Det Konservative Folkeparti
6785,Place publique,time-period/20240716,2024-07-16,Place publique,Place publique,Place publique,Place publique
6791,AP!,time-period/20240716,2024-07-16,AP!,Latvijas attīstībai,AP!,Latvijas attīstībai
6795,VAS,time-period/20240716,2024-07-16,VAS,Vasemmistoliitto,VAS,Vasemmistoliitto
6807,Freie Wähler,time-period/20240716,2024-07-16,Freie Wähler,Freie Wähler,Freie Wähler,Freie Wähler
6810,SD,time-period/20240716,2024-07-16,SD,Sverigedemokraterna,SD,Sverigedemokraterna
6820,PNV,time-period/20240716,2024-07-16,PNV,Partido Nacionalista Vasco,PNV,Partido Nacionalista Vasco
6847,TISZA,time-period/20240716,2024-07-16,TISZA,Tisztelet és Szabadság Párt,TISZA,Tisztelet és Szabadság Párt
6850,BSW,time-period/20240716,2024-07-16,BSW,Bündnis Sahra Wagenknecht – Vernunft und Gerechtigkeit,BSW,Bündnis Sahra Wagenknecht – Vernunft und Gerechtigkeit
6851,BBB,time-period/20240716,2024-07-16,BBB,BoerBurgerBeweging,BBB,BoerBurgerBeweging
6856,Konfederacja,time-period/20240716,2024-07-16,Konfederacja,Konfederacja Wolność i Niepodległość,Konfederacja,Konfederacja Wolność i Niepodległość
6859,V,time-period/20240716,2024-07-16,Volt,Volt,Volt,Volt
6874,PS,time-period/20240716,2024-07-16,Progresívne Slovensko,Progresívne Slovensko,Progresívne Slovensko,Progresívne Slovensko
6876,KINAL,time-period/20240716,2024-07-16,PASOK-KINAL,PASOK-KINAL,PASOK-KINAL,PASOK-KINAL
6879,CDS-PP,time-period/20240716,2024-07-16,CDS-PP,Partido do Centro Democrático Social-Partido Popular,CDS-PP,Partido do Centro Democrático Social-Partido Popular
6912,Vooruit,time-period/20240716,2024-07-16,Vooruit,Vooruit,Vooruit,Vooruit
6914,PNCR,time-period/20240716,2024-07-16,PNCR,Partidului Național Conservator Român (PNCR),PARTIDULUI NAȚIONAL CONSERVATOR ROMÂN (PNCR),PARTIDULUI NAȚIONAL CONSERVATOR ROMÂN (PNCR)
6944,AVS,time-period/20240716,2024-07-16,AVS,Alleanza Verdi e Sinistra,Alleanza Verdi e Sinistra,Alleanza Verdi e Sinistra
6953,Les Écologistes,time-period/20240716,2024-07-16,Les Écologistes,Les Écologistes,Les Écologistes,Les Écologistes
7010,Hlas–SD,time-period/20240716,2024-07-16,Hlas–SD,Hlas – sociálna demokracia,Hlas–SD,Hlas – sociálna demokracia
7023,Sans parti,time-period/20240716,2024-07-16,Sans parti,Sans parti,Sans parti,Sans parti
7029,KKP,time-period/20240716,2024-07-16,KKP,Konfederacja Korony Polskiej,KKP,Konfederacja Korony Polskiej
7033,PSH,time-period/20240716,2024-07-16,PSH,Přísaha,PSH,Přísaha
7872,DOMiNO,time-period/20240928,2024-09-28,DOMiNO,Dom i nacionalno okupljanje,DOMiNO,Dom i nacionalno okupljanje
7952,GL-PvdA,time-period/20250213,2025-02-13,GL-PvdA,GroenLinks-PvdA,GL-PvdA,GroenLinks-PvdA
5320,PSD,time-period/20190702-20240715,2019-07-02,PSD,Partidul Social Democrat,PSD,Partidul Social Democrat
6639,NSC,time-period/20240716,2024-07-16,NSC,Nieuw Sociaal Contract,NSC,Nieuw Sociaal Contract
6645,SOS RO,time-period/20240716,2024-07-16,SOS RO,S.O.S. România,SOS RO,S.O.S. România
